Year,LocationAbbrev,LocationDesc,Population,Topic,Measure,Submeasure,Data Value Unit,Domestic,Imports,Total,Domestic Per Capita,Imports Per Capita,Total Per Capita
2012,US,National,240185952,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Pounds,36441376,2523189,38964565,0,0,0
2013,US,National,242542967,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Pounds,39017640,3230415,42248055,0,0,0
2014,US,National,245273438,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Pounds,37643104,3441405,41084509,0,0,0
2015,US,National,247773709,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Pounds,36189864,4165503,40355367,0,0,0
2000,US,National,209786736,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,5656109785,338489600,5994599385,27,2,29
2001,US,National,212345162,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,4259611077,454477785,4714088862,20,2,22
2002,US,National,214754648,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,5202550646,534129231,5736679877,24,2,27
2003,US,National,217068101,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,5589236677,617357785,6206594462,26,3,29
2004,US,National,219552929,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,6245625108,354785477,6600410585,28,2,30
2005,US,National,222003984,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,7629543877,984613908,8614157785,34,4,39
2006,US,National,224583123,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,8032491323,561063385,8593554708,36,2,38
2007,US,National,227239768,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,8508941785,816734031,9325675815,37,4,41
2008,US,National,229945137,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,9988987077,732498708,10721485785,43,3,47
2009,US,National,232458335,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,5690764800,314944000,6005708800,24,1,26
2010,US,National,235153929,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,2915654892,252016246,3167671138,12,1,13
2011,US,National,237657645,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,2412067938,209522215,2621590154,10,1,11
2012,US,National,240185952,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,2087086277,152780308,2239866585,9,1,9
